Coac;Marasbot;Conrisc;AntiSquid;Baseline1;Baseline2;UJIAgent1;UJIAgent2
95.35;48.79;41.71;51.88;24.33;37.44;42.93;57.30
95.31;48.82;41.73;51.93;24.42;37.44;43.00;57.34
95.29;48.79;41.70;51.88;24.37;37.41;42.96;57.27
95.24;48.95;41.80;51.82;24.37;37.44;42.89;57.22
95.26;48.98;41.76;51.85;24.34;37.41;42.98;57.16
95.27;49.01;41.81;51.93;24.35;37.39;43.03;57.23
95.28;48.98;41.74;51.85;24.32;37.39;42.99;57.13
95.29;49.05;41.84;51.79;24.32;37.39;42.89;57.17
95.30;49.08;41.81;51.85;24.32;37.39;42.84;57.16
95.31;49.08;41.82;51.87;24.33;37.47;42.89;57.23
95.35;49.00;41.79;51.77;24.33;37.42;42.85;57.18
95.31;49.03;41.89;51.77;24.31;37.44;42.78;57.22
95.32;48.95;41.85;51.73;24.25;37.39;42.95;57.30
95.33;49.01;41.90;51.76;24.40;37.36;42.91;57.34
95.37;48.96;41.80;51.77;24.34;37.34;42.85;57.26
95.38;48.97;41.93;51.74;24.32;37.31;42.83;57.28
95.36;48.92;41.89;51.76;24.26;37.25;42.98;57.32
95.37;48.97;41.83;51.73;24.35;37.39;42.99;57.36
95.39;48.92;41.77;51.69;24.30;37.39;42.90;57.34
95.37;49.01;41.84;51.66;24.33;37.37;42.83;57.35
95.38;48.96;41.80;51.66;24.27;37.34;42.92;57.43
95.39;49.01;41.82;51.65;24.25;37.50;42.94;57.44
95.40;48.96;41.76;51.64;24.26;37.45;42.85;57.39
95.41;49.05;41.88;51.58;24.26;37.39;42.81;57.38
95.42;49.00;41.87;51.61;24.21;37.37;42.92;57.37
95.43;49.00;41.89;51.60;24.26;37.47;42.91;57.43
95.47;48.95;41.82;51.56;24.27;37.45;42.82;57.36
95.45;49.01;42.07;51.46;24.24;37.45;42.76;57.32
95.46;48.99;42.04;51.43;24.24;37.42;42.71;57.47
95.47;48.96;42.05;51.48;24.30;37.47;42.73;57.53
95.51;48.89;41.99;51.46;24.33;37.42;42.67;57.44
95.49;49.03;42.03;51.43;24.30;37.40;42.63;57.45
95.50;48.98;42.00;51.43;24.25;37.37;42.74;57.49
95.51;48.98;41.99;51.51;24.31;37.37;42.76;57.58
95.50;48.93;41.96;51.47;24.29;37.32;42.69;57.56
95.51;48.96;41.87;51.49;24.26;37.35;42.71;57.62
95.44;48.94;41.83;51.44;24.29;37.30;42.84;57.69
95.42;48.99;41.88;51.46;24.30;37.32;42.91;57.72
95.41;48.95;41.89;51.47;24.27;37.27;42.85;57.61
95.39;49.03;41.78;51.47;24.30;37.27;42.89;57.64
95.40;48.96;41.72;51.39;24.30;37.20;43.04;57.75
95.39;49.01;41.79;51.36;24.36;37.23;43.11;57.76
95.35;48.99;41.73;51.40;24.36;37.15;43.07;57.67
95.33;49.02;41.70;51.40;24.36;37.20;43.11;57.66
95.32;49.00;41.67;51.42;24.38;37.18;43.21;57.60
95.33;49.02;41.68;51.39;24.46;37.26;43.20;57.66
95.29;48.95;41.63;51.43;24.44;37.18;43.19;57.62
95.28;48.98;41.57;51.45;24.49;37.21;43.20;57.60
95.26;48.91;41.51;51.43;24.46;37.14;43.38;57.69
95.27;48.91;41.48;51.50;24.57;37.14;43.39;57.75
95.28;48.87;41.43;51.46;24.57;37.09;43.38;57.66
95.29;48.85;41.52;51.43;24.54;37.09;43.37;57.69
95.28;48.85;41.46;51.46;24.54;37.04;43.49;57.66
95.24;48.83;41.43;51.45;24.76;37.07;43.48;57.74
95.23;48.79;41.37;51.51;24.71;37.00;43.42;57.70
95.24;48.84;41.42;51.49;24.67;37.03;43.45;57.66
95.22;48.78;41.36;51.46;24.64;37.00;43.55;57.77
95.21;48.85;41.38;51.50;24.67;37.01;43.63;57.75
95.22;48.80;41.32;51.54;24.67;36.94;43.60;57.65
95.23;48.81;41.22;51.61;24.72;36.94;43.61;57.65
95.19;48.77;41.17;51.63;24.72;36.92;43.70;57.69
95.20;48.79;41.16;51.62;24.81;36.94;43.76;57.70
95.19;48.77;41.13;51.63;24.79;36.90;43.70;57.62
95.20;48.76;41.15;51.63;24.79;36.95;43.72;57.60
95.18;48.76;41.10;51.58;24.79;36.92;43.83;57.61
95.19;48.79;41.07;51.63;24.79;37.02;43.89;57.62
95.18;48.74;41.04;51.61;24.77;36.95;43.83;57.61
95.17;48.84;40.99;51.59;24.75;37.00;43.86;57.60
95.18;48.75;40.94;51.52;24.73;37.00;44.00;57.68
95.19;48.78;40.96;51.56;24.75;37.05;44.06;57.66
95.18;48.71;40.91;51.64;24.71;37.00;44.02;57.58
95.16;48.70;40.88;51.64;24.75;37.05;44.01;57.61
95.15;48.70;40.83;51.59;24.73;37.01;44.16;57.63
95.16;48.75;40.83;51.63;24.73;37.08;44.20;57.63
95.15;48.73;40.75;51.64;24.73;37.05;44.14;57.55
95.13;48.69;40.91;51.66;24.71;37.03;44.13;57.54
95.14;48.63;40.86;51.61;24.73;37.01;44.28;57.53
95.15;48.61;40.90;51.59;24.82;37.01;44.33;57.58
95.16;48.59;40.82;51.64;24.78;36.99;44.26;57.50
95.15;48.56;41.00;51.60;24.78;36.99;44.22;57.51
95.14;48.49;40.97;51.68;24.74;36.97;44.26;57.55
95.14;48.50;40.96;51.72;24.72;37.09;44.32;57.56
95.13;48.48;40.91;51.71;24.67;37.02;44.30;57.52
95.14;48.49;40.93;51.66;24.65;37.07;44.34;57.53
95.13;48.45;40.93;51.68;24.61;37.09;44.33;57.59
95.14;48.45;40.96;51.68;24.59;37.20;44.36;57.62
95.15;48.43;40.94;51.58;24.61;37.16;44.31;57.58
95.16;48.25;41.02;51.66;24.64;37.18;44.34;57.57
95.17;48.19;40.99;51.64;24.61;37.18;44.40;57.62
95.17;48.17;41.03;51.62;24.66;37.24;44.45;57.65
95.21;48.17;40.96;51.58;24.64;37.20;44.40;57.60
95.22;48.06;41.08;51.60;24.64;37.22;44.39;57.61
95.22;48.02;41.08;51.58;24.60;37.20;44.42;57.68
95.23;48.00;41.09;51.62;24.64;37.21;44.47;57.73
95.22;47.97;41.07;51.59;24.64;37.16;44.46;57.66
95.23;47.96;41.15;51.54;24.64;37.12;44.49;57.68
95.24;47.88;41.14;51.52;24.62;37.06;44.59;57.76
95.22;47.82;41.15;51.52;24.71;37.19;44.60;57.79
95.24;47.80;41.13;51.46;24.67;37.15;44.57;57.75
95.24;47.76;41.25;51.40;24.67;37.21;44.54;57.76
95.25;47.72;41.20;51.40;24.65;37.21;44.65;57.73
95.22;47.70;41.26;51.38;24.67;37.34;44.66;57.78
95.23;47.66;41.23;51.31;24.67;37.36;44.59;57.73
95.24;47.54;41.25;51.28;24.69;37.40;44.66;57.77
95.24;47.48;41.24;51.24;24.65;37.40;44.74;57.83
95.23;47.42;41.27;51.32;24.66;37.48;44.74;57.87
95.22;47.41;41.25;51.39;24.62;37.42;44.69;57.78
95.23;47.36;41.32;51.39;24.60;37.44;44.70;57.79
95.22;47.31;41.32;51.43;24.56;37.42;44.73;57.84
95.22;47.27;41.33;51.46;24.58;37.52;44.74;57.87
95.24;47.20;41.33;51.46;24.56;37.50;44.67;57.83
95.24;47.19;41.34;51.43;24.58;37.52;44.72;57.80
95.25;47.16;41.28;51.43;24.54;37.48;44.81;57.87
95.26;47.16;41.31;51.45;24.52;37.54;44.88;57.88
95.23;47.15;41.26;51.48;24.52;37.48;44.81;57.84
95.22;47.26;41.30;51.44;24.53;37.44;44.82;57.83
95.20;47.29;41.33;51.45;24.51;37.44;44.79;57.80
95.21;47.29;41.41;51.41;24.59;37.44;44.84;57.81
95.20;47.24;41.38;51.46;24.55;37.44;44.79;57.72
95.21;47.25;41.43;51.46;24.57;37.44;44.76;57.71
95.22;47.22;41.39;51.48;24.57;37.44;44.77;57.74
95.23;47.24;41.44;51.46;24.57;37.54;44.80;57.73
95.24;47.25;41.41;51.39;24.55;37.52;44.77;57.66
95.24;47.28;41.53;51.39;24.55;37.48;44.74;57.62
95.25;47.31;41.50;51.37;24.52;37.46;44.83;57.60
95.26;47.29;41.57;51.34;24.52;37.56;44.83;57.62
95.19;47.30;41.53;51.39;24.50;37.50;44.79;57.59
95.20;47.29;41.60;51.35;24.50;37.48;44.81;57.60
95.21;47.30;41.59;51.35;24.52;37.46;44.79;57.61
95.21;47.36;41.68;51.37;24.47;37.44;44.83;57.64
95.22;47.33;41.62;51.36;24.47;37.41;44.76;57.63
95.23;47.34;41.70;51.32;24.47;37.39;44.75;57.63
95.24;47.33;41.70;51.34;24.43;37.37;44.79;57.64
95.21;47.35;41.75;51.32;24.44;37.42;44.83;57.69
95.24;47.32;41.72;51.33;24.40;37.41;44.76;57.62
95.24;47.29;41.83;51.31;24.36;37.39;44.79;57.63
95.25;47.32;41.82;51.30;24.35;37.37;44.73;57.69
95.26;47.28;41.87;51.30;24.37;37.44;44.75;57.72
95.23;47.25;41.81;51.35;24.35;37.43;44.69;57.69
95.22;47.30;41.89;51.35;24.33;37.41;44.66;57.68
95.21;47.27;41.91;51.40;24.31;37.43;44.67;57.63
95.20;47.26;41.94;51.38;24.41;37.46;44.70;57.66
95.17;47.21;41.93;51.43;24.39;37.43;44.63;57.61
95.18;47.22;42.01;51.41;24.39;37.44;44.62;57.56
95.18;47.24;41.97;51.42;24.36;37.45;44.65;57.55
95.17;47.27;41.98;51.46;24.36;37.50;44.64;57.62
95.20;47.23;41.96;51.45;24.33;37.48;44.58;57.57
