Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness
 12.08; 16.55; 79.94; 72.89; 58.94; 59.60
 12.11; 16.50; 79.97; 72.79; 59.01; 59.63
 12.10; 16.51; 79.97; 72.84; 59.04; 59.54
 12.15; 16.46; 79.97; 72.83; 59.05; 59.54
 12.21; 16.41; 79.94; 72.85; 58.99; 59.60
 12.29; 16.36; 79.94; 72.84; 58.93; 59.63
 12.26; 16.37; 79.94; 72.80; 59.02; 59.60
 12.31; 16.32; 79.97; 72.77; 58.97; 59.67
 12.33; 16.30; 79.97; 72.79; 58.94; 59.67
 12.36; 16.31; 80.00; 72.75; 58.85; 59.73
 12.32; 16.36; 79.97; 72.80; 58.86; 59.70
 12.34; 16.31; 79.97; 72.79; 58.92; 59.67
 12.34; 16.29; 80.03; 72.81; 58.89; 59.64
 12.36; 16.27; 80.09; 72.75; 58.84; 59.70
 12.35; 16.25; 80.03; 72.83; 58.84; 59.70
 12.34; 16.23; 80.06; 72.79; 58.84; 59.73
 12.31; 16.27; 80.09; 72.81; 58.82; 59.70
 12.36; 16.28; 80.12; 72.74; 58.73; 59.76
 12.35; 16.29; 80.09; 72.76; 58.76; 59.74
 12.32; 16.33; 80.09; 72.76; 58.77; 59.74
 12.34; 16.32; 80.09; 72.72; 58.83; 59.71
 12.39; 16.36; 80.09; 72.65; 58.78; 59.74
 12.38; 16.37; 80.03; 72.73; 58.78; 59.71
 12.38; 16.35; 80.06; 72.70; 58.81; 59.71
 12.37; 16.33; 80.06; 72.69; 58.87; 59.68
 12.39; 16.34; 80.12; 72.62; 58.82; 59.71
 12.36; 16.35; 80.09; 72.70; 58.85; 59.66
 12.38; 16.36; 80.09; 72.69; 58.83; 59.66
 12.37; 16.37; 80.14; 72.69; 58.80; 59.63
 12.36; 16.38; 80.11; 72.68; 58.77; 59.69
 12.36; 16.39; 80.06; 72.76; 58.81; 59.63
 12.35; 16.37; 80.08; 72.72; 58.84; 59.63
 12.34; 16.36; 80.08; 72.74; 58.84; 59.63
 12.39; 16.37; 80.08; 72.73; 58.76; 59.66
 12.42; 16.40; 80.08; 72.78; 58.65; 59.66
 12.41; 16.44; 80.14; 72.75; 58.63; 59.64
 12.46; 16.42; 80.17; 72.71; 58.60; 59.64
 12.48; 16.41; 80.19; 72.70; 58.58; 59.64
 12.50; 16.39; 80.17; 72.78; 58.58; 59.58
 12.52; 16.37; 80.14; 72.74; 58.59; 59.64
 12.57; 16.41; 80.19; 72.60; 58.59; 59.64
 12.59; 16.36; 80.17; 72.56; 58.68; 59.64
 12.55; 16.37; 80.14; 72.53; 58.74; 59.67
 12.60; 16.36; 80.11; 72.55; 58.71; 59.67
 12.65; 16.42; 80.16; 72.40; 58.72; 59.64
 12.67; 16.38; 80.14; 72.40; 58.72; 59.70
 12.66; 16.36; 80.14; 72.39; 58.72; 59.73
 12.68; 16.37; 80.11; 72.44; 58.70; 59.70
 12.70; 16.43; 80.08; 72.35; 58.73; 59.70
 12.72; 16.39; 80.05; 72.35; 58.76; 59.73
 12.69; 16.42; 80.08; 72.37; 58.76; 59.68
 12.68; 16.41; 80.11; 72.33; 58.77; 59.71
 12.73; 16.42; 80.16; 72.22; 58.74; 59.73
 12.69; 16.43; 80.16; 72.19; 58.77; 59.76
 12.69; 16.41; 80.16; 72.18; 58.75; 59.81
 12.65; 16.45; 80.16; 72.23; 58.70; 59.81
 12.70; 16.46; 80.19; 72.14; 58.68; 59.84
 12.72; 16.41; 80.18; 72.16; 58.68; 59.84
 12.68; 16.42; 80.18; 72.21; 58.68; 59.82
 12.68; 16.46; 80.18; 72.20; 58.69; 59.79
 12.72; 16.47; 80.16; 72.12; 58.72; 59.82
 12.77; 16.42; 80.13; 72.09; 58.77; 59.82
 12.76; 16.43; 80.08; 72.08; 58.80; 59.84
 12.78; 16.44; 80.08; 72.03; 58.81; 59.87
 12.85; 16.48; 80.10; 71.92; 58.73; 59.92
 12.87; 16.46; 80.10; 71.89; 58.76; 59.92
 12.84; 16.49; 80.10; 71.91; 58.76; 59.90
 12.80; 16.53; 80.10; 71.90; 58.74; 59.92
 12.82; 16.59; 80.13; 71.79; 58.72; 59.95
 12.84; 16.57; 80.13; 71.79; 58.70; 59.97
 12.83; 16.56; 80.13; 71.79; 58.72; 59.97
