AntiSquid;Baseline1;Baseline2;Chad;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;ReinforcedGreediness;UJIAgent1;UJIAgent2;UJIAgent3
 45.64; 22.47; 26.55; 79.68; 83.36; 33.20; 41.23; 57.49; 59.87; 61.40; 41.72; 54.55; 42.83
 45.54; 22.54; 26.60; 79.76; 83.41; 33.14; 41.18; 57.49; 59.78; 61.41; 41.67; 54.65; 42.83
 45.54; 22.53; 26.61; 79.84; 83.47; 33.12; 41.10; 57.66; 59.51; 61.36; 41.59; 54.70; 42.98
 45.49; 22.62; 26.66; 79.83; 83.49; 33.09; 41.08; 57.51; 59.39; 61.42; 41.64; 54.70; 43.08
 45.44; 22.61; 26.73; 79.75; 83.60; 33.15; 41.06; 57.51; 59.28; 61.43; 41.64; 54.78; 43.04
 45.57; 22.63; 26.66; 79.75; 83.44; 33.28; 41.09; 57.59; 59.03; 61.49; 41.61; 54.69; 43.17
 45.49; 22.62; 26.65; 79.66; 83.52; 33.36; 41.04; 57.47; 59.06; 61.55; 41.61; 54.77; 43.21
 45.52; 22.60; 26.61; 79.69; 83.49; 33.33; 41.09; 57.45; 59.08; 61.58; 41.61; 54.71; 43.23
 45.47; 22.64; 26.58; 79.79; 83.39; 33.26; 41.15; 57.35; 59.05; 61.64; 41.69; 54.76; 43.24
 45.50; 22.61; 26.83; 79.78; 83.46; 33.26; 41.20; 57.43; 58.76; 61.49; 41.56; 54.71; 43.41
 45.42; 22.60; 26.76; 79.83; 83.41; 33.26; 41.31; 57.44; 58.76; 61.60; 41.56; 54.70; 43.35
 45.40; 22.56; 26.80; 79.75; 83.43; 33.21; 41.29; 57.55; 58.73; 61.65; 41.69; 54.70; 43.24
 45.43; 22.55; 26.72; 79.85; 83.28; 33.26; 41.24; 57.60; 58.58; 61.71; 41.77; 54.70; 43.33
 45.46; 22.59; 26.76; 79.87; 83.31; 33.28; 41.27; 57.48; 58.67; 61.66; 41.82; 54.57; 43.27
 45.48; 22.55; 26.67; 79.82; 83.33; 33.21; 41.22; 57.49; 58.85; 61.69; 41.79; 54.52; 43.38
 45.44; 22.57; 26.64; 79.89; 83.28; 33.18; 41.15; 57.44; 58.79; 61.76; 41.79; 54.56; 43.51
 45.51; 22.58; 26.78; 79.93; 83.33; 33.21; 41.10; 57.47; 58.55; 61.77; 41.64; 54.59; 43.55
 45.49; 22.62; 26.79; 79.95; 83.36; 33.24; 41.03; 57.40; 58.47; 61.84; 41.72; 54.56; 43.54
 45.47; 22.54; 26.85; 79.90; 83.46; 33.24; 41.08; 57.33; 58.40; 61.80; 41.76; 54.61; 43.57
 45.47; 22.50; 26.74; 79.84; 83.41; 33.41; 41.16; 57.36; 58.30; 61.75; 41.81; 54.58; 43.66
 45.42; 22.54; 26.71; 79.87; 83.45; 33.48; 41.21; 57.23; 58.37; 61.77; 41.86; 54.55; 43.54
 45.57; 22.61; 26.63; 79.91; 83.45; 33.48; 41.16; 57.28; 58.42; 61.80; 41.81; 54.41; 43.48
 45.55; 22.67; 26.60; 80.02; 83.43; 33.52; 41.17; 57.31; 58.35; 61.83; 41.74; 54.40; 43.42
 45.62; 22.63; 26.68; 80.00; 83.48; 33.57; 41.10; 57.43; 58.13; 61.76; 41.71; 54.40; 43.48
 45.60; 22.60; 26.62; 80.04; 83.45; 33.59; 41.15; 57.37; 58.04; 61.81; 41.76; 54.40; 43.57
 45.60; 22.57; 26.69; 79.96; 83.54; 33.64; 41.13; 57.35; 57.95; 61.79; 41.83; 54.40; 43.56
 45.53; 22.60; 26.65; 79.96; 83.47; 33.73; 41.15; 57.38; 57.83; 61.84; 41.78; 54.35; 43.71
 45.46; 22.59; 26.62; 79.95; 83.50; 33.84; 41.09; 57.29; 58.02; 61.78; 41.83; 54.35; 43.67
 45.49; 22.65; 26.61; 79.93; 83.49; 33.82; 41.07; 57.30; 58.05; 61.85; 41.78; 54.33; 43.64
 45.49; 22.69; 26.58; 80.01; 83.47; 33.75; 41.09; 57.23; 57.93; 61.90; 41.83; 54.40; 43.63
 45.54; 22.68; 26.73; 80.08; 83.54; 33.74; 41.10; 57.24; 57.71; 61.93; 41.71; 54.37; 43.64
 45.47; 22.76; 26.83; 80.05; 83.54; 33.65; 41.19; 57.18; 57.67; 61.91; 41.76; 54.42; 43.59
 45.38; 22.70; 26.89; 79.93; 83.58; 33.74; 41.13; 57.30; 57.65; 61.87; 41.85; 54.44; 43.55
 45.41; 22.69; 26.86; 80.00; 83.49; 33.71; 41.15; 57.35; 57.58; 61.82; 41.85; 54.48; 43.61
 45.37; 22.66; 26.89; 79.99; 83.56; 33.71; 41.15; 57.31; 57.70; 61.82; 41.89; 54.43; 43.52
 45.35; 22.63; 26.88; 80.01; 83.55; 33.67; 41.20; 57.31; 57.77; 61.85; 41.89; 54.39; 43.51
 45.33; 22.60; 26.85; 80.05; 83.58; 33.64; 41.23; 57.30; 57.73; 61.87; 41.93; 54.45; 43.46
 45.37; 22.57; 26.91; 80.04; 83.64; 33.64; 41.23; 57.37; 57.53; 61.85; 41.84; 54.52; 43.49
 45.38; 22.64; 26.90; 80.08; 83.60; 33.55; 41.25; 57.33; 57.58; 61.81; 41.82; 54.56; 43.50
 45.33; 22.59; 26.95; 80.08; 83.68; 33.55; 41.25; 57.38; 57.48; 61.84; 41.91; 54.49; 43.47
 45.29; 22.60; 26.90; 80.09; 83.59; 33.59; 41.21; 57.36; 57.40; 61.80; 42.01; 54.53; 43.61
 45.30; 22.57; 26.87; 80.11; 83.63; 33.61; 41.15; 57.39; 57.42; 61.82; 42.07; 54.51; 43.54
 45.28; 22.52; 26.88; 80.17; 83.61; 33.63; 41.11; 57.44; 57.51; 61.80; 42.05; 54.53; 43.47
