AntiSquid;Baseline1;Baseline2;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;UJIAgent1;UJIAgent2;UJIAgent3
44.99;22.81;31.20;91.59;35.94;41.08;57.27;89.77;40.89;53.83;40.67
44.96;22.76;31.13;91.61;35.86;41.03;57.14;89.62;40.80;53.72;40.61
44.90;22.75;31.07;91.53;35.78;40.94;57.06;89.58;40.71;53.60;40.60
44.98;22.81;31.13;91.54;35.61;41.03;57.11;89.61;40.70;53.66;40.58
45.02;22.80;31.19;91.56;35.58;41.18;57.13;89.56;40.72;53.58;40.60
45.00;22.75;31.18;91.58;35.51;41.21;57.10;89.54;40.74;53.61;40.59
Invalid format at line 17144
45.04;22.71;31.15;91.56;35.50;41.26;57.07;89.57;40.92;53.57;40.55
45.02;22.68;31.16;91.54;35.50;41.24;56.99;89.48;41.00;53.79;40.46
45.03;22.65;31.09;91.53;35.56;41.30;56.97;89.47;41.05;53.97;40.34
44.97;22.68;31.02;91.54;35.63;41.35;57.06;89.49;41.14;54.00;40.61
45.02;22.72;31.01;91.53;35.66;41.44;57.08;89.51;41.16;54.10;40.62
44.92;22.78;31.04;91.55;35.69;41.49;57.14;89.50;41.11;54.05;40.67
44.96;22.80;31.01;91.63;35.62;41.40;57.02;89.35;41.02;53.98;40.69
44.87;22.75;30.95;91.57;35.54;41.32;56.94;89.35;40.94;53.90;40.64
44.88;22.71;30.88;91.58;35.45;41.37;56.96;89.35;40.99;53.86;40.59
44.85;22.76;30.89;91.60;35.66;41.44;56.87;89.34;41.00;53.86;40.54
44.80;22.71;30.86;91.62;35.66;41.80;56.73;89.33;40.95;53.88;40.49
44.81;22.67;30.80;91.63;35.58;41.82;56.92;89.35;40.90;53.91;40.47
44.75;22.62;30.84;91.62;35.55;41.87;56.91;89.37;41.14;53.79;40.42
44.79;22.58;30.84;91.63;35.48;41.88;56.84;89.36;41.06;54.06;40.45
44.77;22.77;30.85;91.62;35.44;41.93;56.83;89.38;41.14;54.08;40.50
44.85;22.98;30.83;91.60;35.47;41.91;56.85;89.40;41.20;54.14;40.49
44.75;23.00;30.87;91.58;35.43;41.99;56.93;89.42;41.18;54.23;40.51
44.99;23.02;30.81;91.53;35.36;41.96;56.92;89.34;41.16;54.26;40.43
44.90;22.97;30.74;91.41;35.31;41.91;56.87;89.37;41.08;54.15;40.35
44.88;22.93;30.68;91.39;35.31;41.86;56.76;89.38;41.00;54.11;40.27
44.86;22.92;30.69;91.37;35.51;41.80;56.78;89.40;41.02;54.13;40.32
44.84;22.87;30.66;91.39;35.54;42.23;56.63;89.41;40.94;54.09;40.27
44.85;22.86;30.70;91.38;35.50;42.21;56.76;89.42;40.80;54.08;40.29
44.82;22.85;30.64;91.33;35.53;42.23;56.75;89.44;41.20;53.99;40.21
44.87;22.80;30.58;91.34;35.49;42.24;56.74;89.43;41.12;54.29;40.10
44.91;22.80;30.58;91.35;35.46;42.29;56.72;89.38;41.13;54.34;40.26
44.98;22.90;30.59;91.36;35.42;42.34;56.78;89.40;41.21;54.40;40.31
44.98;22.95;30.35;91.38;35.48;42.39;56.86;89.42;41.30;54.46;40.42
44.92;22.97;30.36;91.37;35.51;42.43;56.91;89.41;41.25;54.51;40.41
44.87;22.92;30.30;91.43;35.44;42.35;56.80;89.27;41.20;54.44;40.33
44.78;22.88;30.26;91.35;35.37;42.27;56.69;89.37;41.12;54.33;40.26
44.79;22.93;30.25;91.37;35.44;42.35;56.65;89.37;41.14;54.36;40.24
44.80;22.95;30.25;91.39;35.52;42.32;56.63;89.39;41.09;54.35;40.32
44.72;22.92;30.25;91.37;35.48;42.38;56.53;89.41;41.11;54.37;40.37
44.76;22.89;30.23;91.36;35.45;42.40;56.56;89.43;41.28;54.33;40.33
44.71;22.90;30.17;91.34;35.38;42.44;56.55;89.42;41.45;54.33;40.28
Invalid format at line 19455
44.75;22.85;30.11;91.36;35.47;42.45;56.47;89.41;41.46;54.52;40.21
44.76;22.77;30.12;91.37;35.50;42.53;56.52;89.42;41.57;54.58;40.38
44.83;22.82;30.08;91.39;35.56;42.57;56.48;89.44;41.62;54.63;40.42
44.86;22.87;30.12;91.31;35.52;42.62;56.50;89.43;41.57;54.65;40.47
44.93;22.92;30.10;91.32;35.46;42.54;56.40;89.33;41.49;54.62;40.46
44.85;22.88;30.04;91.30;35.39;42.46;56.29;89.36;41.42;54.55;40.38
