AdvancedAvocadoAgent;Ag2O;Baseline1;Baseline2;ByteRL;Chad;Coac;DrainPower;DrainPowerAggressive;LANE\\_1\\_0;OneLaneIsEnough;ReinforcedGreediness
 20.35; 17.58; 21.23; 21.70; 94.41; 68.38; 66.53; 75.20; 75.25; 34.52; 54.02; 50.82
 20.27; 17.59; 21.21; 21.83; 94.34; 68.43; 66.57; 75.14; 75.24; 34.53; 54.05; 50.82
 20.23; 17.56; 21.22; 21.81; 94.34; 68.45; 66.60; 75.10; 75.25; 34.51; 54.03; 50.89
 20.17; 17.54; 21.28; 21.82; 94.32; 68.50; 66.61; 75.09; 75.23; 34.52; 54.03; 50.88
 20.14; 17.57; 21.24; 21.85; 94.33; 68.48; 66.67; 75.05; 75.27; 34.53; 54.03; 50.86
 20.10; 17.53; 21.27; 21.95; 94.31; 68.52; 66.75; 74.94; 75.18; 34.54; 54.11; 50.80
 20.00; 17.58; 21.25; 22.10; 94.32; 68.47; 66.80; 74.98; 75.15; 34.48; 54.06; 50.82
 19.96; 17.51; 21.26; 22.17; 94.32; 68.52; 66.79; 74.94; 75.20; 34.49; 54.02; 50.82
 19.93; 17.58; 21.22; 22.20; 94.35; 68.42; 66.84; 74.95; 75.17; 34.43; 54.07; 50.84
 19.90; 17.54; 21.20; 22.23; 94.31; 68.47; 66.87; 74.94; 75.18; 34.46; 54.07; 50.83
 19.82; 17.52; 21.19; 22.32; 94.32; 68.44; 66.88; 75.00; 75.24; 34.45; 54.00; 50.83
 19.81; 17.45; 21.20; 22.37; 94.35; 68.49; 66.84; 75.01; 75.20; 34.41; 54.07; 50.80
 19.75; 17.41; 21.18; 22.45; 94.38; 68.42; 66.89; 75.00; 75.16; 34.44; 54.08; 50.84
 19.72; 17.39; 21.19; 22.47; 94.38; 68.48; 67.04; 74.94; 75.10; 34.41; 54.01; 50.86
 19.71; 17.49; 21.15; 22.52; 94.41; 68.46; 67.05; 74.93; 75.12; 34.32; 54.04; 50.81
 19.73; 17.47; 21.14; 22.57; 94.42; 68.57; 67.05; 74.90; 75.03; 34.26; 54.08; 50.78
 19.65; 17.49; 21.19; 22.57; 94.42; 68.60; 67.03; 74.95; 74.98; 34.27; 54.04; 50.80
 19.74; 17.41; 21.15; 22.59; 94.43; 68.62; 67.11; 74.97; 75.01; 34.26; 53.97; 50.75
 19.68; 17.41; 21.11; 22.61; 94.41; 68.57; 67.18; 74.95; 75.05; 34.25; 54.02; 50.75
 19.70; 17.41; 21.19; 22.55; 94.41; 68.57; 67.21; 74.97; 75.08; 34.22; 54.03; 50.68
 19.73; 17.44; 21.17; 22.52; 94.44; 68.56; 67.17; 75.00; 75.02; 34.18; 54.01; 50.74
 19.73; 17.44; 21.16; 22.48; 94.42; 68.58; 67.20; 74.99; 75.08; 34.19; 53.99; 50.74
 19.67; 17.49; 21.17; 22.44; 94.45; 68.58; 67.13; 74.98; 75.13; 34.20; 53.97; 50.78
 19.71; 17.49; 21.22; 22.37; 94.46; 68.58; 67.14; 75.01; 75.14; 34.12; 53.97; 50.78
 19.77; 17.45; 21.25; 22.33; 94.46; 68.51; 67.17; 74.98; 75.11; 34.16; 53.93; 50.88
 19.74; 17.41; 21.32; 22.29; 94.44; 68.56; 67.13; 75.01; 75.10; 34.12; 54.02; 50.86
 19.71; 17.42; 21.39; 22.25; 94.45; 68.64; 67.07; 75.00; 75.04; 34.09; 54.02; 50.92
 19.70; 17.44; 21.49; 22.23; 94.45; 68.62; 67.07; 75.01; 75.05; 33.99; 54.07; 50.87
 19.70; 17.45; 21.45; 22.21; 94.48; 68.61; 67.01; 75.00; 75.09; 34.05; 54.03; 50.93
 19.69; 17.45; 21.46; 22.15; 94.44; 68.63; 67.06; 75.05; 75.10; 34.04; 53.99; 50.95
 19.75; 17.45; 21.48; 22.15; 94.47; 68.65; 66.96; 74.96; 75.17; 34.01; 53.92; 51.03
 19.78; 17.46; 21.51; 22.09; 94.47; 68.63; 66.97; 74.97; 75.22; 33.97; 53.95; 50.98
 19.75; 17.50; 21.45; 22.18; 94.50; 68.65; 66.91; 74.96; 75.19; 34.01; 53.87; 51.04
 19.75; 17.48; 21.48; 22.18; 94.48; 68.65; 67.00; 74.95; 75.26; 34.00; 53.74; 51.04
 19.78; 17.49; 21.46; 22.14; 94.51; 68.67; 66.92; 74.92; 75.23; 34.01; 53.77; 51.12
 19.82; 17.45; 21.51; 22.10; 94.49; 68.71; 66.95; 74.84; 75.30; 33.98; 53.79; 51.07
 19.83; 17.45; 21.52; 22.08; 94.52; 68.77; 66.83; 74.87; 75.29; 34.01; 53.79; 51.04
 19.82; 17.43; 21.56; 22.02; 94.50; 68.78; 66.87; 74.84; 75.36; 33.98; 53.76; 51.06
 19.81; 17.50; 21.53; 22.07; 94.52; 68.78; 66.84; 74.81; 75.35; 33.95; 53.72; 51.12
 19.81; 17.52; 21.51; 22.03; 94.51; 68.76; 66.91; 74.76; 75.36; 33.98; 53.74; 51.11
 19.80; 17.55; 21.48; 21.97; 94.53; 68.69; 66.91; 74.77; 75.35; 34.05; 53.83; 51.06
 19.77; 17.55; 21.48; 21.99; 94.50; 68.63; 67.00; 74.75; 75.34; 34.08; 53.89; 51.02
 19.76; 17.57; 21.47; 21.92; 94.46; 68.55; 67.03; 74.72; 75.39; 34.21; 53.94; 50.99
 19.72; 17.62; 21.52; 21.88; 94.42; 68.53; 67.09; 74.67; 75.39; 34.20; 54.00; 50.97
 19.71; 17.64; 21.50; 21.80; 94.41; 68.46; 67.12; 74.68; 75.38; 34.31; 54.08; 50.91
